laborId,prisonerId
4,1
2,2
1,3
3,4
2,5
1,6
1,7
4,8
1,9
1,10
2,11
5,12
5,13
2,14
1,15
3,16
3,17
1,18
1,19
2,20
3,21
4,22
1,23
3,24
1,25
3,26
1,27
3,28
2,29
4,30
1,31
5,32
2,33
2,34
1,35
5,36
3,37
2,38
5,39
1,40
5,41
1,42
5,43
1,44
5,45
2,46
4,47
3,48
4,49
1,50
1,51
5,52
4,53
3,54
3,55
2,56
5,57
3,58
4,59
1,60
2,61
1,62
2,63
2,64
3,65
5,66
1,67
1,68
3,69
3,70
4,71
2,72
2,73
4,74
2,75
5,76
3,77
4,78
3,79
3,80
3,81
4,82
4,83
3,84
4,85
2,86
3,87
3,88
4,89
5,90
5,91
3,92
3,93
5,94
2,95
5,96
3,97
2,98
3,99
1,100
1,101
2,102
4,103
4,104
2,105
2,106
4,107
5,108
2,109
4,110
3,111
4,112
4,113
4,114
5,115
1,116
5,117
3,118
5,119
4,120
5,121
5,122
2,123
5,124
1,125
4,126
5,127
2,128
4,129
4,130
1,131
3,132
4,133
1,134
4,135
5,136
5,137
5,138
2,139
2,140
5,141
4,142
3,143
3,144
5,145
3,146
2,147
3,148
2,149
2,150
2,151
5,152
2,153
3,154
2,155
4,156
2,157
3,158
2,159
1,160
5,161
5,162
1,163
1,164
4,165
5,166
5,167
5,168
2,169
3,170
1,171
5,172
5,173
1,174
1,175
4,176
1,177
5,178
4,179
1,180
2,181
1,182
1,183
1,184
1,185
5,186
2,187
2,188
5,189
4,190
1,191
4,192
1,193
2,194
3,195
1,196
3,197
3,198
5,199
1,200
5,201
2,202
5,203
2,204
2,205
2,206
5,207
4,208
1,209
3,210
2,211
1,212
5,213
4,214
5,215
1,216
4,217
5,218
3,219
3,220
1,221
1,222
2,223
3,224
1,225
4,226
2,227
5,228
5,229
1,230
2,231
1,232
3,233
1,234
2,235
2,236
3,237
5,238
3,239
3,240
5,241
3,242
5,243
2,244
2,245
1,246
1,247
3,248
4,249
4,250
4,251
1,252
2,253
4,254
1,255
2,256
4,257
4,258
2,259
4,260
4,261
2,262
1,263
4,264
2,265
3,266
1,267
3,268
1,269
5,270
4,271
4,272
4,273
2,274
3,275
3,276
4,277
3,278
3,279
5,280
5,281
3,282
1,283
3,284
5,285
2,286
2,287
5,288
1,289
4,290
3,291
5,292
2,293
1,294
1,295
1,296
4,297
3,298
3,299
5,300
1,301
3,302
4,303
4,304
3,305
2,306
2,307
3,308
2,309
3,310
4,311
5,312
5,313
2,314
1,315
4,316
1,317
1,318
4,319
2,320
2,321
3,322
2,323
4,324
3,325
3,326
3,327
4,328
1,329
1,330
5,331
3,332
2,333
2,334
4,335
4,336
5,337
3,338
4,339
3,340
2,341
3,342
1,343
4,344
4,345
4,346
2,347
1,348
2,349
2,350
5,351
3,352
5,353
5,354
1,355
3,356
3,357
4,358
1,359
3,360
2,361
3,362
2,363
3,364
5,365
5,366
3,367
5,368
5,369
4,370
2,371
1,372
3,373
2,374
4,375
1,376
1,377
5,378
4,379
2,380
5,381
3,382
4,383
5,384
1,385
1,386
2,387
3,388
3,389
2,390
5,391
5,392
5,393
2,394
3,395
4,396
2,397
2,398
2,399
4,400
5,401
3,402
2,403
5,404
1,405
5,406
2,407
1,408
3,409
4,410
5,411
1,412
2,413
4,414
3,415
5,416
5,417
4,418
1,419
4,420
4,421
2,422
4,423
5,424
1,425
4,426
2,427
5,428
2,429
2,430
1,431
3,432
4,433
2,434
5,435
3,436
2,437
1,438
2,439
5,440
5,441
5,442
2,443
3,444
2,445
3,446
2,447
2,448
2,449
4,450
5,451
5,452
1,453
3,454
5,455
4,456
3,457
1,458
5,459
3,460
3,461
4,462
4,463
4,464
2,465
2,466
3,467
2,468
3,469
5,470
4,471
3,472
5,473
1,474
3,475
5,476
1,477
5,478
4,479
4,480
1,481
4,482
4,483
3,484
3,485
3,486
4,487
2,488
3,489
3,490
3,491
4,492
1,493
1,494
5,495
3,496
3,497
5,498
3,499
2,500
